card_name,elo_gains_dict,drawn_by_generation_dict,played_by_generation_dict,draw_free_dict,draw_and_buy_dict,draw_for_2_dict,drawn_and_played_by_gen_dict,drawn_not_played_by_gen_dict,player_corporations_dict,payment_distribution_dict
Acquired Company,"{""-19 and down"": 22, ""-17 to -18"": 88, ""-15 to -16"": 154, ""-13 to -14"": 137, ""-11 to -12"": 143, ""-9 to -10"": 90, ""-7 to -8"": 44, ""-5 to -6"": 19, ""-3 to -4"": 8, ""-1 to -2"": 0, ""0"": 86, ""1 to 2"": 913, ""3 to 4"": 876, ""5 to 6"": 544, ""7 to 8"": 374, ""9 to 10"": 201, ""11 to 12"": 106, ""13 to 14"": 59, ""15 to 16"": 25, ""17 to 18"": 17, ""19 and up"": 63}","{""1"": 571, ""2"": 195, ""3"": 194, ""4"": 160, ""5"": 129, ""6"": 119, ""7"": 125, ""8"": 114, ""9"": 95, ""10"": 94, ""11"": 92, ""12"": 47, ""13"": 21, ""14"": 5, ""15"": 1, ""16"": 1}","{""1"": 472, ""2"": 256, ""3"": 196, ""4"": 148, ""5"": 113, ""6"": 97, ""7"": 89, ""8"": 61, ""9"": 40, ""10"": 27, ""11"": 22, ""12"": 14, ""13"": 3, ""14"": 2, ""16"": 1}","{""1"": 70, ""2"": 30, ""3"": 30, ""4"": 35, ""5"": 43, ""6"": 41, ""7"": 66, ""8"": 79, ""9"": 71, ""10"": 69, ""11"": 68, ""12"": 37, ""13"": 20, ""14"": 4, ""15"": 1, ""16"": 1}","{""1"": 3, ""2"": 155, ""3"": 151, ""4"": 114, ""5"": 79, ""6"": 67, ""7"": 51, ""8"": 22, ""9"": 15, ""10"": 14, ""11"": 14, ""12"": 6, ""14"": 1}","{""1"": 1, ""2"": 2, ""3"": 9, ""4"": 7, ""5"": 4, ""6"": 7, ""7"": 5, ""8"": 11, ""9"": 6, ""10"": 7, ""11"": 9, ""12"": 4, ""13"": 1}","{""(1,1)"": 889, ""(1,2)"": 154, ""(1,3)"": 13, ""(1,4)"": 4, ""(2,2)"": 167, ""(2,3)"": 26, ""(2,4)"": 2, ""(3,3)"": 163, ""(3,4)"": 20, ""(3,5)"": 3, ""(3,6)"": 2, ""(4,4)"": 124, ""(4,5)"": 17, ""(4,6)"": 6, ""(4,7)"": 4, ""(4,11)"": 1, ""(5,5)"": 93, ""(5,6)"": 7, ""(5,7)"": 4, ""(5,8)"": 2, ""(5,9)"": 1, ""(6,6)"": 82, ""(6,7)"": 11, ""(6,8)"": 2, ""(6,12)"": 1, ""(7,7)"": 70, ""(7,8)"": 10, ""(7,9)"": 2, ""(8,8)"": 47, ""(8,9)"": 11, ""(9,9)"": 26, ""(9,10)"": 3, ""(9,11)"": 1, ""(9,12)"": 1, ""(10,10)"": 24, ""(10,11)"": 1, ""(11,11)"": 19, ""(11,12)"": 2, ""(12,12)"": 10, ""(13,13)"": 3, ""(14,14)"": 2, ""(16,16)"": 1}","{""1"": 1, ""3"": 6, ""4"": 8, ""5"": 22, ""6"": 23, ""7"": 43, ""8"": 56, ""9"": 64, ""10"": 69, ""11"": 71, ""12"": 37, ""13"": 18, ""14"": 3, ""15"": 1}","{""Cheung Shing Mars"": 237, ""CrediCor"": 361, ""Ecoline"": 318, ""Helion"": 202, ""Interplanetary Cinematics"": 270, ""Inventrix"": 202, ""Mining Guild"": 300, ""PhoboLog"": 107, ""Point Luna"": 348, ""Robinson Industries"": 121, ""Saturn Systems"": 293, ""Teractor"": 290, ""Tharsis Republic"": 212, ""ThorGate"": 87, ""United Nations Mars Initiative"": 63, ""Unknown"": 8, ""Valley Trust"": 269, ""Vitor"": 295}","{""0"": 4, ""1"": 5, ""2"": 42, ""3"": 15, ""4"": 58, ""5"": 68, ""6"": 44, ""7"": 240, ""8"": 99, ""9"": 78, ""10"": 888}"
Adaptation Technology,"{""-19 and down"": 18, ""-17 to -18"": 100, ""-15 to -16"": 134, ""-13 to -14"": 133, ""-11 to -12"": 132, ""-9 to -10"": 82, ""-7 to -8"": 43, ""-5 to -6"": 13, ""-3 to -4"": 7, ""-1 to -2"": 0, ""0"": 77, ""1 to 2"": 874, ""3 to 4"": 880, ""5 to 6"": 521, ""7 to 8"": 351, ""9 to 10"": 179, ""11 to 12"": 106, ""13 to 14"": 47, ""15 to 16"": 29, ""17 to 18"": 18, ""19 and up"": 67}","{""1"": 229, ""2"": 116, ""3"": 134, ""4"": 139, ""5"": 154, ""6"": 161, ""7"": 184, ""8"": 165, ""9"": 158, ""10"": 145, ""11"": 121, ""12"": 52, ""13"": 22, ""14"": 10, ""15"": 3, ""16"": 1}","{""1"": 8, ""2"": 16, ""3"": 53, ""4"": 75, ""5"": 116, ""6"": 128, ""7"": 169, ""8"": 127, ""9"": 154, ""10"": 125, ""11"": 106, ""12"": 48, ""13"": 26, ""14"": 14, ""15"": 3, ""16"": 1}","{""1"": 83, ""2"": 21, ""3"": 27, ""4"": 40, ""5"": 47, ""6"": 46, ""7"": 62, ""8"": 68, ""9"": 72, ""10"": 80, ""11"": 60, ""12"": 31, ""13"": 10, ""14"": 7, ""15"": 1}","{""2"": 91, ""3"": 97, ""4"": 96, ""5"": 99, ""6"": 105, ""7"": 110, ""8"": 83, ""9"": 72, ""10"": 50, ""11"": 45, ""12"": 16, ""13"": 9, ""14"": 2, ""15"": 2, ""16"": 1}","{""1"": 2, ""2"": 3, ""3"": 7, ""4"": 3, ""5"": 4, ""6"": 8, ""7"": 12, ""8"": 11, ""9"": 10, ""10"": 13, ""11"": 11, ""12"": 3, ""13"": 2, ""14"": 1}","{""(1,1)"": 14, ""(1,2)"": 8, ""(1,3)"": 33, ""(1,4)"": 44, ""(1,5)"": 44, ""(1,6)"": 48, ""(1,7)"": 36, ""(1,8)"": 18, ""(1,9)"": 9, ""(1,10)"": 15, ""(1,11)"": 8, ""(1,12)"": 1, ""(1,13)"": 2, ""(1,14)"": 2, ""(2,2)"": 11, ""(2,3)"": 11, ""(2,4)"": 15, ""(2,5)"": 9, ""(2,6)"": 6, ""(2,7)"": 13, ""(2,8)"": 10, ""(2,9)"": 6, ""(2,10)"": 3, ""(2,11)"": 2, ""(2,12)"": 2, ""(2,13)"": 1, ""(2,14)"": 1, ""(3,3)"": 21, ""(3,4)"": 12, ""(3,5)"": 27, ""(3,6)"": 9, ""(3,7)"": 5, ""(3,8)"": 8, ""(3,9)"": 7, ""(3,10)"": 7, ""(3,11)"": 2, ""(3,12)"": 2, ""(4,4)"": 23, ""(4,5)"": 21, ""(4,6)"": 17, ""(4,7)"": 18, ""(4,8)"": 4, ""(4,9)"": 9, ""(4,10)"": 1, ""(4,11)"": 7, ""(4,12)"": 1, ""(5,5)"": 31, ""(5,6)"": 26, ""(5,7)"": 27, ""(5,8)"": 16, ""(5,9)"": 12, ""(5,10)"": 4, ""(5,11)"": 1, ""(5,12)"": 1, ""(5,13)"": 2, ""(6,6)"": 44, ""(6,7)"": 40, ""(6,8)"": 10, ""(6,9)"": 18, ""(6,10)"": 5, ""(6,11)"": 5, ""(6,12)"": 2, ""(6,13)"": 1, ""(7,7)"": 45, ""(7,8)"": 21, ""(7,9)"": 17, ""(7,10)"": 15, ""(7,11)"": 4, ""(7,12)"": 1, ""(7,13)"": 1, ""(8,8)"": 48, ""(8,9)"": 31, ""(8,10)"": 13, ""(8,11)"": 5, ""(8,12)"": 3, ""(8,13)"": 2, ""(9,9)"": 48, ""(9,10)"": 20, ""(9,11)"": 6, ""(9,12)"": 5, ""(10,10)"": 49, ""(10,11)"": 21, ""(10,12)"": 5, ""(10,13)"": 1, ""(10,14)"": 1, ""(11,11)"": 48, ""(11,12)"": 10, ""(11,14)"": 2, ""(12,12)"": 15, ""(12,13)"": 7, ""(12,14)"": 1, ""(13,13)"": 10, ""(13,14)"": 3, ""(14,14)"": 5, ""(14,15)"": 1, ""(15,15)"": 2, ""(16,16)"": 1}","{""1"": 63, ""2"": 26, ""3"": 34, ""4"": 38, ""5"": 34, ""6"": 36, ""7"": 80, ""8"": 63, ""9"": 79, ""10"": 68, ""11"": 61, ""12"": 29, ""13"": 9, ""14"": 4, ""15"": 1}","{""Cheung Shing Mars"": 209, ""CrediCor"": 357, ""Ecoline"": 288, ""Helion"": 187, ""Interplanetary Cinematics"": 271, ""Inventrix"": 191, ""Mining Guild"": 275, ""PhoboLog"": 108, ""Point Luna"": 311, ""Robinson Industries"": 103, ""Saturn Systems"": 296, ""Teractor"": 253, ""Tharsis Republic"": 232, ""ThorGate"": 74, ""United Nations Mars Initiative"": 64, ""Unknown"": 12, ""Valley Trust"": 268, ""Vitor"": 321}","{""0"": 1, ""1"": 4, ""2"": 6, ""3"": 4, ""4"": 14, ""5"": 3, ""6"": 7, ""7"": 36, ""8"": 65, ""9"": 100, ""10"": 264, ""11"": 127, ""12"": 538}"
Adapted Lichen,"{""-19 and down"": 21, ""-17 to -18"": 88, ""-15 to -16"": 150, ""-13 to -14"": 145, ""-11 to -12"": 123, ""-9 to -10"": 89, ""-7 to -8"": 33, ""-5 to -6"": 25, ""-3 to -4"": 5, ""-1 to -2"": 0, ""0"": 72, ""1 to 2"": 878, ""3 to 4"": 809, ""5 to 6"": 508, ""7 to 8"": 323, ""9 to 10"": 183, ""11 to 12"": 95, ""13 to 14"": 44, ""15 to 16"": 26, ""17 to 18"": 14, ""19 and up"": 61}","{""1"": 396, ""2"": 120, ""3"": 136, ""4"": 109, ""5"": 139, ""6"": 129, ""7"": 125, ""8"": 132, ""9"": 104, ""10"": 109, ""11"": 82, ""12"": 39, ""13"": 18, ""14"": 8, ""15"": 1}","{""1"": 160, ""2"": 154, ""3"": 137, ""4"": 98, ""5"": 90, ""6"": 107, ""7"": 95, ""8"": 97, ""9"": 71, ""10"": 42, ""11"": 42, ""12"": 24, ""13"": 13, ""14"": 2, ""15"": 1}","{""1"": 140, ""2"": 19, ""3"": 29, ""4"": 28, ""5"": 51, ""6"": 56, ""7"": 66, ""8"": 69, ""9"": 75, ""10"": 77, ""11"": 60, ""12"": 28, ""13"": 11, ""14"": 7, ""15"": 1}","{""2"": 97, ""3"": 100, ""4"": 74, ""5"": 77, ""6"": 70, ""7"": 46, ""8"": 45, ""9"": 19, ""10"": 19, ""11"": 12, ""12"": 6, ""13"": 3}","{""1"": 1, ""2"": 3, ""3"": 6, ""4"": 6, ""5"": 8, ""6"": 2, ""7"": 10, ""8"": 15, ""9"": 9, ""10"": 9, ""11"": 7, ""12"": 4, ""13"": 3, ""14"": 1}","{""(1,1)"": 286, ""(1,2)"": 147, ""(1,3)"": 56, ""(1,4)"": 27, ""(1,5)"": 18, ""(1,6)"": 13, ""(1,7)"": 18, ""(1,8)"": 10, ""(1,9)"": 8, ""(2,2)"": 67, ""(2,3)"": 21, ""(2,4)"": 7, ""(2,5)"": 8, ""(2,6)"": 2, ""(2,7)"": 2, ""(2,8)"": 3, ""(2,9)"": 1, ""(3,3)"": 81, ""(3,4)"": 14, ""(3,5)"": 10, ""(3,6)"": 2, ""(3,7)"": 3, ""(3,8)"": 4, ""(3,9)"": 2, ""(3,10)"": 1, ""(3,11)"": 1, ""(3,12)"": 1, ""(4,4)"": 60, ""(4,5)"": 17, ""(4,6)"": 7, ""(4,7)"": 2, ""(4,8)"": 4, ""(5,5)"": 45, ""(5,6)"": 23, ""(5,7)"": 15, ""(5,8)"": 6, ""(5,9)"": 4, ""(5,10)"": 3, ""(5,11)"": 1, ""(5,12)"": 1, ""(6,6)"": 64, ""(6,7)"": 14, ""(6,8)"": 9, ""(6,9)"": 5, ""(6,10)"": 2, ""(7,7)"": 49, ""(7,8)"": 10, ""(7,9)"": 5, ""(7,10)"": 3, ""(7,11)"": 1, ""(7,12)"": 1, ""(8,8)"": 54, ""(8,9)"": 12, ""(8,10)"": 3, ""(8,11)"": 3, ""(8,12)"": 1, ""(9,9)"": 35, ""(9,10)"": 8, ""(9,11)"": 6, ""(9,13)"": 1, ""(10,10)"": 22, ""(10,11)"": 8, ""(10,12)"": 3, ""(10,13)"": 1, ""(11,11)"": 22, ""(11,12)"": 2, ""(11,13)"": 2, ""(12,12)"": 15, ""(12,13)"": 2, ""(13,13)"": 7, ""(14,14)"": 2, ""(15,15)"": 1}","{""1"": 54, ""2"": 9, ""3"": 17, ""4"": 19, ""5"": 41, ""6"": 35, ""7"": 56, ""8"": 59, ""9"": 54, ""10"": 75, ""11"": 56, ""12"": 22, ""13"": 11, ""14"": 6}","{""Cheung Shing Mars"": 239, ""CrediCor"": 368, ""Ecoline"": 300, ""Helion"": 160, ""Interplanetary Cinematics"": 270, ""Inventrix"": 159, ""Mining Guild"": 259, ""PhoboLog"": 97, ""Point Luna"": 331, ""Robinson Industries"": 123, ""Saturn Systems"": 269, ""Teractor"": 278, ""Tharsis Republic"": 212, ""ThorGate"": 85, ""United Nations Mars Initiative"": 54, ""Unknown"": 9, ""Valley Trust"": 244, ""Vitor"": 250}","{""0"": 12, ""1"": 43, ""2"": 8, ""3"": 18, ""4"": 30, ""5"": 51, ""6"": 54, ""7"": 174, ""8"": 85, ""9"": 658}"
Advanced Alloys,"{""-19 and down"": 15, ""-17 to -18"": 80, ""-15 to -16"": 105, ""-13 to -14"": 135, ""-11 to -12"": 125, ""-9 to -10"": 81, ""-7 to -8"": 42, ""-5 to -6"": 23, ""-3 to -4"": 4, ""-1 to -2"": 0, ""0"": 85, ""1 to 2"": 858, ""3 to 4"": 875, ""5 to 6"": 551, ""7 to 8"": 356, ""9 to 10"": 186, ""11 to 12"": 98, ""13 to 14"": 48, ""15 to 16"": 29, ""17 to 18"": 22, ""19 and up"": 71}","{""1"": 558, ""2"": 197, ""3"": 193, ""4"": 213, ""5"": 229, ""6"": 232, ""7"": 198, ""8"": 221, ""9"": 219, ""10"": 203, ""11"": 132, ""12"": 64, ""13"": 28, ""14"": 13, ""15"": 1}","{""1"": 180, ""2"": 185, ""3"": 259, ""4"": 255, ""5"": 272, ""6"": 273, ""7"": 224, ""8"": 234, ""9"": 206, ""10"": 177, ""11"": 132, ""12"": 58, ""13"": 18, ""14"": 9, ""15"": 1}","{""1"": 75, ""2"": 22, ""3"": 30, ""4"": 30, ""5"": 45, ""6"": 57, ""7"": 54, ""8"": 61, ""9"": 68, ""10"": 71, ""11"": 47, ""12"": 25, ""13"": 14, ""14"": 6}","{""1"": 2, ""2"": 169, ""3"": 150, ""4"": 164, ""5"": 171, ""6"": 159, ""7"": 130, ""8"": 140, ""9"": 125, ""10"": 112, ""11"": 73, ""12"": 36, ""13"": 11, ""14"": 7, ""15"": 1}","{""1"": 1, ""2"": 1, ""3"": 4, ""4"": 8, ""5"": 8, ""6"": 9, ""7"": 8, ""8"": 11, ""9"": 17, ""10"": 12, ""11"": 7, ""12"": 3, ""13"": 2}","{""(1,1)"": 341, ""(1,2)"": 251, ""(1,3)"": 171, ""(1,4)"": 105, ""(1,5)"": 66, ""(1,6)"": 35, ""(1,7)"": 19, ""(1,8)"": 7, ""(1,9)"": 2, ""(1,10)"": 3, ""(1,13)"": 2, ""(2,2)"": 51, ""(2,3)"": 75, ""(2,4)"": 33, ""(2,5)"": 25, ""(2,6)"": 6, ""(2,7)"": 3, ""(2,8)"": 2, ""(2,10)"": 1, ""(3,3)"": 88, ""(3,4)"": 59, ""(3,5)"": 26, ""(3,6)"": 5, ""(3,7)"": 8, ""(3,8)"": 1, ""(3,9)"": 1, ""(4,4)"": 105, ""(4,5)"": 61, ""(4,6)"": 33, ""(4,7)"": 6, ""(4,9)"": 4, ""(5,5)"": 125, ""(5,6)"": 65, ""(5,7)"": 19, ""(5,8)"": 7, ""(5,9)"": 3, ""(5,10)"": 2, ""(5,11)"": 1, ""(6,6)"": 144, ""(6,7)"": 61, ""(6,8)"": 12, ""(6,9)"": 6, ""(7,7)"": 116, ""(7,8)"": 46, ""(7,9)"": 14, ""(7,10)"": 2, ""(8,8)"": 162, ""(8,9)"": 33, ""(8,10)"": 5, ""(8,11)"": 1, ""(9,9)"": 144, ""(9,10)"": 36, ""(9,11)"": 7, ""(10,10)"": 129, ""(10,11)"": 32, ""(10,12)"": 1, ""(11,11)"": 91, ""(11,12)"": 11, ""(12,12)"": 46, ""(12,13)"": 1, ""(13,13)"": 16, ""(14,14)"": 9, ""(15,15)"": 1}","{""1"": 16, ""2"": 1, ""3"": 5, ""4"": 4, ""5"": 7, ""6"": 9, ""7"": 20, ""8"": 20, ""9"": 32, ""10"": 41, ""11"": 30, ""12"": 17, ""13"": 12, ""14"": 4}","{""Cheung Shing Mars"": 218, ""CrediCor"": 377, ""Ecoline"": 290, ""Helion"": 183, ""Interplanetary Cinematics"": 271, ""Inventrix"": 179, ""Mining Guild"": 260, ""PhoboLog"": 125, ""Point Luna"": 329, ""Robinson Industries"": 130, ""Saturn Systems"": 263, ""Teractor"": 245, ""Tharsis Republic"": 212, ""ThorGate"": 84, ""United Nations Mars Initiative"": 58, ""Unknown"": 10, ""Valley Trust"": 270, ""Vitor"": 294}","{""0"": 9, ""1"": 42, ""2"": 4, ""3"": 4, ""4"": 42, ""5"": 79, ""6"": 146, ""7"": 486, ""8"": 234, ""9"": 1437}"
Advanced Ecosystems,"{""-19 and down"": 22, ""-17 to -18"": 96, ""-15 to -16"": 148, ""-13 to -14"": 148, ""-11 to -12"": 117, ""-9 to -10"": 97, ""-7 to -8"": 40, ""-5 to -6"": 23, ""-3 to -4"": 4, ""-1 to -2"": 0, ""0"": 91, ""1 to 2"": 1032, ""3 to 4"": 1014, ""5 to 6"": 582, ""7 to 8"": 370, ""9 to 10"": 194, ""11 to 12"": 101, ""13 to 14"": 51, ""15 to 16"": 29, ""17 to 18"": 25, ""19 and up"": 70}","{""1"": 547, ""2"": 256, ""3"": 281, ""4"": 313, ""5"": 301, ""6"": 346, ""7"": 330, ""8"": 299, ""9"": 322, ""10"": 272, ""11"": 216, ""12"": 80, ""13"": 35, ""14"": 8, ""15"": 4}","{""4"": 4, ""5"": 4, ""6"": 19, ""7"": 27, ""8"": 71, ""9"": 229, ""10"": 526, ""11"": 689, ""12"": 397, ""13"": 180, ""14"": 56, ""15"": 13, ""16"": 3, ""17"": 2}","{""1"": 134, ""2"": 9, ""3"": 24, ""4"": 39, ""5"": 33, ""6"": 49, ""7"": 59, ""8"": 60, ""9"": 83, ""10"": 73, ""11"": 52, ""12"": 31, ""13"": 10, ""14"": 4, ""15"": 1}","{""1"": 3, ""2"": 240, ""3"": 249, ""4"": 251, ""5"": 250, ""6"": 270, ""7"": 247, ""8"": 217, ""9"": 221, ""10"": 174, ""11"": 144, ""12"": 44, ""13"": 21, ""14"": 3, ""15"": 2}","{""1"": 1, ""2"": 4, ""3"": 5, ""4"": 11, ""5"": 10, ""6"": 16, ""7"": 13, ""8"": 9, ""9"": 6, ""10"": 13, ""11"": 11, ""12"": 3, ""13"": 2, ""14"": 1}","{""(1,4)"": 2, ""(1,5)"": 4, ""(1,6)"": 3, ""(1,7)"": 9, ""(1,8)"": 33, ""(1,9)"": 87, ""(1,10)"": 161, ""(1,11)"": 148, ""(1,12)"": 82, ""(1,13)"": 35, ""(1,14)"": 12, ""(1,15)"": 2, ""(1,16)"": 2, ""(2,4)"": 2, ""(2,6)"": 2, ""(2,7)"": 1, ""(2,8)"": 4, ""(2,9)"": 9, ""(2,10)"": 41, ""(2,11)"": 46, ""(2,12)"": 29, ""(2,13)"": 9, ""(2,14)"": 4, ""(2,17)"": 1, ""(3,4)"": 1, ""(3,5)"": 1, ""(3,6)"": 3, ""(3,7)"": 8, ""(3,8)"": 6, ""(3,9)"": 21, ""(3,10)"": 36, ""(3,11)"": 48, ""(3,12)"": 28, ""(3,13)"": 12, ""(3,14)"": 4, ""(4,5)"": 1, ""(4,6)"": 4, ""(4,7)"": 5, ""(4,8)"": 5, ""(4,9)"": 24, ""(4,10)"": 42, ""(4,11)"": 50, ""(4,12)"": 28, ""(4,13)"": 12, ""(4,14)"": 5, ""(5,6)"": 1, ""(5,7)"": 3, ""(5,8)"": 16, ""(5,9)"": 25, ""(5,10)"": 31, ""(5,11)"": 58, ""(5,12)"": 28, ""(5,13)"": 14, ""(5,14)"": 4, ""(6,6)"": 7, ""(6,7)"": 3, ""(6,8)"": 8, ""(6,9)"": 28, ""(6,10)"": 50, ""(6,11)"": 62, ""(6,12)"": 31, ""(6,13)"": 7, ""(6,14)"": 4, ""(6,15)"": 1, ""(7,7)"": 2, ""(7,8)"": 7, ""(7,9)"": 22, ""(7,10)"": 50, ""(7,11)"": 60, ""(7,12)"": 25, ""(7,13)"": 13, ""(7,14)"": 6, ""(7,15)"": 2, ""(8,8)"": 6, ""(8,9)"": 19, ""(8,10)"": 45, ""(8,11)"": 65, ""(8,12)"": 28, ""(8,13)"": 12, ""(8,14)"": 2, ""(9,9)"": 34, ""(9,10)"": 68, ""(9,11)"": 70, ""(9,12)"": 26, ""(9,13)"": 12, ""(9,14)"": 4, ""(9,16)"": 1, ""(10,10)"": 70, ""(10,11)"": 60, ""(10,12)"": 37, ""(10,13)"": 18, ""(10,14)"": 1, ""(10,15)"": 1, ""(11,11)"": 83, ""(11,12)"": 49, ""(11,13)"": 18, ""(11,14)"": 2, ""(11,15)"": 1, ""(12,12)"": 40, ""(12,13)"": 13, ""(12,14)"": 5, ""(12,15)"": 2, ""(13,13)"": 21, ""(13,14)"": 4, ""(13,15)"": 1, ""(14,14)"": 5, ""(14,15)"": 1, ""(14,16)"": 1, ""(15,15)"": 3, ""(15,17)"": 1}","{""1"": 216, ""2"": 108, ""3"": 113, ""4"": 137, ""5"": 121, ""6"": 145, ""7"": 143, ""8"": 122, ""9"": 107, ""10"": 85, ""11"": 63, ""12"": 20, ""13"": 9, ""14"": 1}","{""Cheung Shing Mars"": 273, ""CrediCor"": 403, ""Ecoline"": 324, ""Helion"": 204, ""Interplanetary Cinematics"": 291, ""Inventrix"": 190, ""Mining Guild"": 296, ""PhoboLog"": 121, ""Point Luna"": 361, ""Robinson Industries"": 143, ""Saturn Systems"": 335, ""Teractor"": 303, ""Tharsis Republic"": 244, ""ThorGate"": 101, ""United Nations Mars Initiative"": 59, ""Unknown"": 15, ""Valley Trust"": 299, ""Vitor"": 304}","{""0"": 31, ""1"": 35, ""2"": 21, ""3"": 34, ""4"": 21, ""5"": 28, ""6"": 124, ""7"": 192, ""8"": 280, ""9"": 533, ""10"": 261, ""11"": 660}"
Aerobraked Ammonia Asteroid,"{""-19 and down"": 18, ""-17 to -18"": 87, ""-15 to -16"": 136, ""-13 to -14"": 130, ""-11 to -12"": 130, ""-9 to -10"": 93, ""-7 to -8"": 43, ""-5 to -6"": 24, ""-3 to -4"": 8, ""-1 to -2"": 0, ""0"": 81, ""1 to 2"": 794, ""3 to 4"": 778, ""5 to 6"": 491, ""7 to 8"": 346, ""9 to 10"": 175, ""11 to 12"": 83, ""13 to 14"": 44, ""15 to 16"": 29, ""17 to 18"": 16, ""19 and up"": 54}","{""1"": 177, ""2"": 53, ""3"": 59, ""4"": 65, ""5"": 70, ""6"": 89, ""7"": 102, ""8"": 102, ""9"": 97, ""10"": 99, ""11"": 65, ""12"": 40, ""13"": 17, ""14"": 7, ""15"": 3, ""16"": 1}","{""1"": 57, ""2"": 26, ""3"": 20, ""4"": 25, ""5"": 21, ""6"": 23, ""7"": 23, ""8"": 26, ""9"": 44, ""10"": 13, ""11"": 12, ""12"": 8, ""13"": 7, ""14"": 2, ""15"": 2}","{""1"": 98, ""2"": 23, ""3"": 37, ""4"": 38, ""5"": 44, ""6"": 50, ""7"": 67, ""8"": 74, ""9"": 59, ""10"": 67, ""11"": 50, ""12"": 27, ""13"": 11, ""14"": 6, ""15"": 3, ""16"": 1}","{""2"": 24, ""3"": 18, ""4"": 21, ""5"": 21, ""6"": 29, ""7"": 26, ""8"": 17, ""9"": 23, ""10"": 18, ""11"": 7, ""12"": 6, ""13"": 4, ""14"": 1}","{""1"": 2, ""2"": 6, ""3"": 4, ""4"": 5, ""5"": 5, ""6"": 9, ""7"": 7, ""8"": 9, ""9"": 13, ""10"": 14, ""11"": 8, ""12"": 6, ""13"": 2}","{""(1,1)"": 108, ""(1,2)"": 21, ""(1,3)"": 15, ""(1,4)"": 11, ""(1,5)"": 1, ""(1,6)"": 2, ""(1,7)"": 2, ""(1,8)"": 4, ""(1,9)"": 3, ""(1,10)"": 2, ""(1,12)"": 1, ""(2,2)"": 13, ""(2,3)"": 4, ""(2,4)"": 4, ""(2,5)"": 1, ""(2,6)"": 1, ""(2,8)"": 3, ""(2,11)"": 1, ""(3,3)"": 6, ""(3,4)"": 5, ""(3,5)"": 4, ""(3,6)"": 3, ""(3,7)"": 2, ""(4,4)"": 8, ""(4,5)"": 3, ""(4,6)"": 2, ""(4,8)"": 1, ""(4,9)"": 1, ""(5,5)"": 12, ""(5,6)"": 3, ""(5,7)"": 1, ""(5,8)"": 1, ""(5,9)"": 2, ""(5,15)"": 1, ""(6,6)"": 12, ""(6,7)"": 4, ""(6,8)"": 3, ""(6,9)"": 1, ""(6,11)"": 1, ""(7,7)"": 14, ""(7,8)"": 3, ""(7,9)"": 7, ""(7,10)"": 1, ""(7,13)"": 1, ""(8,8)"": 12, ""(8,9)"": 5, ""(8,10)"": 1, ""(8,13)"": 1, ""(9,9)"": 26, ""(10,10)"": 10, ""(10,11)"": 2, ""(10,12)"": 1, ""(11,11)"": 8, ""(11,12)"": 1, ""(12,12)"": 5, ""(12,13)"": 2, ""(13,13)"": 3, ""(14,14)"": 2, ""(15,15)"": 1}","{""1"": 77, ""2"": 26, ""3"": 39, ""4"": 50, ""5"": 50, ""6"": 68, ""7"": 76, ""8"": 83, ""9"": 71, ""10"": 86, ""11"": 56, ""12"": 33, ""13"": 14, ""14"": 5, ""15"": 2, ""16"": 1}","{""Cheung Shing Mars"": 198, ""CrediCor"": 353, ""Ecoline"": 297, ""Helion"": 180, ""Interplanetary Cinematics"": 258, ""Inventrix"": 161, ""Mining Guild"": 236, ""PhoboLog"": 109, ""Point Luna"": 294, ""Robinson Industries"": 118, ""Saturn Systems"": 258, ""Teractor"": 241, ""Tharsis Republic"": 198, ""ThorGate"": 82, ""United Nations Mars Initiative"": 48, ""Unknown"": 11, ""Valley Trust"": 278, ""Vitor"": 251}","{""1"": 24, ""2"": 31, ""3"": 23, ""4"": 35, ""5"": 29, ""6"": 55, ""7"": 24, ""8"": 29, ""14"": 2, ""15"": 1, ""16"": 1, ""17"": 3, ""18"": 2, ""19"": 1, ""20"": 2, ""21"": 2, ""22"": 6, ""23"": 1, ""24"": 8, ""25"": 2, ""26"": 28}"
